ops/critical_done_on_time,ops/critical_due,ops/episodes,events/outage,time/time_elapsed,time/iterations,events/skipped,rollout/ep_rew_mean,ops/min_soc_pct,act/calibrate_share,ops/below_reserve_steps,time/fps,ops/completed_share,ops/revenue_usd,ops/work_lost_steps,time/total_timesteps,rollout/ep_len_mean,ops/critical_on_time_share,events/add_jobs,ops/jobs_due_missed,ops/jobs_completed,act/idle_share,ops/brownout_steps,act/executor_switches,act/conflicts_repaired,ops/blocked_commands,events/close_downlink,act/job_share,act/downlink_slots_used,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/value_loss
161.75,334.0,72,15.0,1388,18,31.0,2158.807622222222,40.323596249999994,0.6997612847222223,0.0,14,0.644453642384106,19281.809999999998,161.25,20736,288.0,0.4842814371257485,0.0,429.5,778.5,0.18580005787037035,0.0,196.75,278.5,0.0,8.25,0.1144386574074074,67.0,1.3110052,0.3624579906463623,0.0001,43,-37.64189224243164,6903.21484375,0.2,0.27730598896741865,0.73125,15446.192578125
185.0,334.0,76,13.75,1470,19,36.5,2172.730592105263,40.670525999999995,0.5415400752314814,0.0,14,0.6988824503311257,21073.155,123.0,21888,288.0,0.5538922155688623,0.0,363.75,844.25,0.33740234375,0.0,228.25,397.5,0.0,10.25,0.12105758101851852,85.0,1.7518561,0.4568045139312744,0.0001,46,-36.57324062694203,541.469482421875,0.2,0.10167152233506468,0.7279829545454546,3855.8503196022725
187.5,334.0,80,13.0,1497,20,32.25,2190.124365,43.04283625,0.36293764467592593,0.0,15,0.7104718543046358,21161.855,123.5,23040,288.0,0.561377245508982,0.0,349.75,858.25,0.5146846064814815,0.0,235.5,444.0,0.0,6.5,0.1223777488425926,97.0,2.0662148,0.7371479272842407,0.0001,47,-43.81672795613607,5963.3408203125,0.2,0.4873957584301631,0.6197916666666666,12027.920572916666
188.5,334.0,84,9.75,1524,21,35.5,2204.7751083333337,45.0928945,0.2451171875,0.0,15,0.7046771523178808,21006.497499999998,122.75,24192,288.0,0.5643712574850299,0.0,356.75,851.25,0.6335539641203703,0.0,237.25,410.5,0.0,9.5,0.12132884837962962,95.75,1.1478459,0.741742730140686,0.0001,48,-42.054056803385414,6719.861328125,0.2,0.15708077698946,0.6223958333333334,13243.888020833334
203.0,334.0,88,14.75,1611,22,29.75,2238.3963534090913,46.671959,0.14234302662037038,0.0,15,0.7497930463576159,22424.25,88.75,25344,288.0,0.6077844311377245,0.0,302.25,905.75,0.7312282986111112,0.0,259.25,559.75,0.0,10.75,0.12642867476851852,122.0,1.6366425,0.7808437347412109,0.0001,51,-38.66169532140096,823.2310180664062,0.2,0.26177442260086536,0.8512369791666666,5249.571782430013
224.75,334.0,92,14.25,1657,23,32.25,2296.0650521739135,47.54915200000001,0.0886501736111111,0.0,15,0.810430463576159,24246.392499999998,51.5,26496,288.0,0.6729041916167664,0.0,229.0,979.0,0.7778682002314814,0.0,279.5,942.5,0.0,8.5,0.1334816261574074,163.75,2.3320901,0.8100225329399109,0.0001,53,-31.135970687866212,4986.90869140625,0.2,0.16682006232440472,0.778125,13410.7318359375
222.75,334.0,96,13.5,1750,24,30.5,2346.838590625,48.1266665,0.1274956597222222,0.0,15,0.8089817880794702,24400.4975,50.0,27648,288.0,0.6669161676646707,0.0,230.75,977.25,0.7391673900462963,0.0,297.25,935.25,0.0,6.25,0.13333695023148148,159.75,1.1290259,0.779481053352356,0.0001,56,-27.092604930584248,1039.6422119140625,0.2,0.0994541454487122,0.5802283653846154,10129.454181377705
224.0,334.0,100,16.75,1812,25,34.0,2397.001571,44.6178945,0.2097439236111111,0.0,15,0.8185016556291391,24423.809999999998,56.5,28800,288.0,0.6706586826347305,0.0,219.25,988.75,0.6555085358796297,0.0,294.75,1024.75,0.0,7.25,0.13474754050925927,177.25,1.6407881,0.8867062330245972,0.0001,58,-32.207267888387044,1415.2276611328125,0.2,0.22977846780170996,0.665625,9973.019873046875
225.25,334.0,104,10.75,1861,26,36.25,2440.094305,45.531491,0.25566044560185186,0.0,16,0.8143625827814569,24281.387499999997,53.0,29952,288.0,0.6744011976047904,0.0,224.25,983.75,0.6104962384259259,0.0,290.25,957.75,0.0,9.25,0.1338433159722222,169.0,1.5762143,0.8842523694038391,0.0001,60,-35.755136316472836,2549.570068359375,0.2,0.029356539926745674,0.5632102272727273,11328.408380681818
219.0,334.0,108,15.75,1919,27,35.5,2479.019812,43.302105,0.3131510416666667,0.0,16,0.798841059602649,23964.8475,55.5,31104,288.0,0.655688622754491,0.0,243.0,965.0,0.5545247395833333,0.0,308.25,873.25,0.0,7.75,0.13232421875,153.75,1.3553292,0.9181029200553894,0.0001,62,-37.17017092023577,1717.1661376953125,0.2,0.03456328323643122,0.44363839285714285,7818.831263950893
220.75,334.0,112,14.75,1977,28,32.0,2520.2122560000003,42.94388875,0.3349066840277778,0.0,16,0.8038079470198676,24203.485,55.75,32256,288.0,0.6609281437125749,0.0,237.0,971.0,0.5321180555555556,0.0,297.25,870.5,0.0,7.75,0.13297526041666669,156.75,1.0598934,0.9563418030738831,0.0001,64,-37.84286444527762,1839.5654296875,0.2,0.016030966038150445,0.45703125,5198.412370954241
