events/close_downlink,ops/critical_on_time_share,time/total_timesteps,ops/work_lost_steps,ops/below_reserve_steps,act/executor_switches,act/idle_share,time/fps,ops/critical_done_on_time,rollout/ep_rew_mean,events/add_jobs,ops/critical_due,ops/episodes,ops/brownout_steps,ops/min_soc_pct,act/calibrate_share,ops/jobs_completed,events/skipped,ops/blocked_commands,ops/jobs_due_missed,ops/completed_share,act/downlink_slots_used,time/time_elapsed,time/iterations,ops/revenue_usd,act/job_share,act/conflicts_repaired,rollout/ep_len_mean,events/outage,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/value_loss,train/explained_variance,train/n_updates
10.25,0.5471556886227544,1152,115.0,0.0,244.5,0.7757703993055556,50,182.75,2500.520525,0.0,334.0,4,0.0,46.7450585,0.10087528935185186,866.5,32.75,0.0,341.5,0.7173013245033112,96.75,22,1,21645.802499999998,0.12335431134259259,456.5,288.0,12.25,,,,,,,,,,
9.75,0.5898203592814371,2304,91.25,0.0,275.25,0.7193467881944445,14,197.0,2662.6648875,0.0,334.0,8,0.0,45.8678655,0.15418836805555555,901.5,37.5,0.0,306.5,0.7462748344370862,116.25,155,2,22383.425,0.12646484375,555.75,288.0,17.0,0.4357743,0.13116179952501422,2164.143798828125,0.76171875,0.0003,-31.284446663326687,0.2,16411.05579969618,0.0002777576446533203,4
8.75,0.5583832335329342,3456,106.0,0.0,241.5,0.07501446759259259,12,186.5,2639.9081916666664,0.0,334.0,12,0.0,39.97666649999999,0.8004557291666667,879.5,36.25,0.0,328.5,0.7280629139072847,100.25,280,3,21874.48,0.12452980324074074,515.0,288.0,16.0,15.441532,0.24804739881720808,1162.7117919921875,0.9134114583333334,0.0003,-36.92787922753228,0.2,8745.118496365018,0.01546621322631836,8
9.0,0.017964071856287428,4608,62.25,0.0,0.25,0.009566695601851851,11,6.0,1121.71611875,0.0,334.0,16,0.0,39.793333,0.9835250289351852,31.0,35.5,0.0,1177.0,0.02566225165562914,1.25,404,4,432.74,0.006908275462962963,0.5,288.0,13.25,40.26013,0.24290959619813496,2068.177490234375,0.9665798611111112,0.0003,-3.185419129828612,0.2,9209.843207465277,0.05800431966781616,12
10.0,0.6706586826347306,5760,52.5,0.0,284.5,0.24106626157407407,10,224.0,1610.816345,0.0,334.0,20,0.0,39.88499974999999,0.6247106481481481,983.0,34.25,0.0,225.0,0.8137417218543046,168.0,525,5,24461.725,0.1342230902777778,992.0,288.0,16.5,64.59419,0.23469517436913317,896.3740234375,0.849609375,0.0003,-31.831404507160187,0.2,19366.47691853841,0.36523330211639404,16
