act/idle_share,events/skipped,ops/revenue_usd,time/iterations,ops/work_lost_steps,ops/completed_share,act/conflicts_repaired,act/job_share,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,ops/critical_due,time/time_elapsed,ops/below_reserve_steps,ops/brownout_steps,events/outage,events/add_jobs,events/close_downlink,act/calibrate_share,act/executor_switches,ops/jobs_due_missed,ops/critical_on_time_share,ops/episodes,ops/critical_done_on_time,ops/jobs_completed,ops/min_soc_pct,time/total_timesteps,ops/blocked_commands,act/downlink_slots_used,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,train/loss
0.24752242476851852,34.25,25463.37,11,49.75,0.8857615894039735,2340.5,0.1404441550925926,288.0,9,2097.202022727273,334.0,1267,0.0,0.0,13.25,0.0,9.5,0.6120334201388888,113.5,138.0,0.8128742514970059,44,271.5,1070.0,39.793333,12672,0.0,284.25,0.3090963813786705,-7.240351173612806,0.9626736111111112,0.2,77.13102,40,0.679701030254364,0.0003,16995.97667778863,1883.2506103515625
0.2733832465277778,34.25,24855.295000000002,12,46.0,0.8656870860927153,2268.25,0.13662832754629628,288.0,9,2290.6875166666664,334.0,1388,0.0,0.0,15.5,0.0,9.25,0.5899884259259259,116.75,162.25,0.7866766467065868,48,262.75,1045.75,39.793333,13824,0.0,275.75,0.09182002351412343,-5.76213977071974,0.4485677083333333,0.2,2.5365303,44,0.8283479809761047,0.0003,13447.48740641276,1292.033203125
0.3138020833333333,31.0,23986.0625,13,43.0,0.834023178807947,2161.5,0.13136574074074076,288.0,9,2432.3267942307693,334.0,1507,0.0,0.0,13.75,0.0,8.25,0.5548321759259259,115.25,200.5,0.7582335329341318,52,253.25,1007.5,39.793333,14976,0.0,263.5,0.07317300632389055,-5.974698583285014,0.5034722222222222,0.2,2.9610918,48,0.8927826881408691,0.0003,9265.730977376303,1124.6348876953125
0.3521592881944444,38.0,23370.887499999997,14,43.75,0.8131208609271523,2085.5,0.12818287037037038,288.0,9,2538.3772999999997,334.0,1624,0.0,0.0,13.5,0.0,9.25,0.5196578414351852,109.5,225.75,0.7357784431137725,56,245.75,982.25,39.793333,16128,0.0,259.0,-0.020853612158033583,-5.8375893168979225,0.3862847222222222,0.2,2.8261507,52,0.9429607391357422,0.0003,8005.449849446614,1246.011962890625
0.3704427083333333,30.0,22456.66,15,40.25,0.7874586092715232,2030.25,0.12357132523148148,288.0,9,2612.046586666666,334.0,1742,0.0,0.0,12.25,0.0,7.75,0.5059859664351851,107.75,256.75,0.7073353293413174,60,236.25,951.25,39.793333,17280,0.0,253.25,0.02689281080125107,-5.791216942999098,0.3893229166666667,0.2,1.972411,56,0.962479829788208,0.0003,5765.580501980252,753.9196166992188
0.3954716435185185,35.25,21347.935,16,40.0,0.7464817880794702,1904.5,0.1174045138888889,288.0,9,2656.844728125,334.0,1862,0.0,0.0,12.5,0.0,8.0,0.48712384259259256,102.25,306.25,0.686377245508982,64,229.25,901.75,39.793333,18432,0.0,240.25,0.020411908574816253,-5.62389322121938,0.3541666666666667,0.2,1.5192845,60,0.9758468270301819,0.0003,6138.737935384114,1187.577392578125
0.43352141203703703,40.25,20120.105000000003,17,35.25,0.7061258278145696,1792.0,0.11073133680555555,288.0,9,2678.2414235294123,334.0,1982,0.0,0.0,16.0,0.0,6.5,0.4557472511574074,94.5,355.0,0.6624251497005988,68,221.25,853.0,39.793333,19584,0.0,229.25,0.010635473299771547,-5.1863464779324,0.4388020833333333,0.2,3.4037275,64,0.977321207523346,0.0003,6871.406989203559,2631.21826171875
0.4742296006944445,31.0,18761.045000000002,18,33.25,0.6576986754966887,1661.25,0.10304542824074074,288.0,9,2670.7174805555555,334.0,2103,0.0,0.0,15.0,0.0,8.25,0.4227249710648148,79.5,413.5,0.6077844311377245,72,203.0,794.5,39.793333,20736,0.0,217.5,0.012169425505109958,-4.876433942053053,0.3760850694444444,0.2,2.9414275,68,0.9799694418907166,0.0003,9747.474914550781,3756.9501953125
0.5039424189814815,36.5,17821.87,19,33.5,0.627069536423841,1602.75,0.09841579861111112,288.0,9,2649.016886842105,334.0,2227,0.0,0.0,13.75,0.0,10.25,0.3976417824074074,87.75,450.5,0.5785928143712575,76,193.25,757.5,39.793333,21888,0.0,211.0,-0.010036711141260134,-4.517469141218397,0.3268229166666667,0.2,3.2878025,72,0.9837883710861206,0.0003,10280.457505967883,2739.689697265625
0.5366030092592593,32.25,16565.3125,20,35.0,0.5763658940397351,1494.75,0.09130859375,288.0,9,2607.1305737499997,334.0,2349,0.0,0.0,13.0,0.0,6.5,0.3720883969907407,74.0,511.75,0.5411676646706587,80,180.75,696.25,39.793333,23040,0.0,189.0,-0.012841214813912908,-4.111572954389784,0.2482638888888889,0.2,3.127834,76,0.9835416674613953,0.0003,12610.838989257812,5509.12451171875
0.5555013020833334,35.5,15625.2725,21,28.25,0.5461506622516556,1419.75,0.0858470775462963,288.0,9,2553.5881761904757,334.0,2469,0.0,0.0,9.75,0.0,9.5,0.35865162037037035,70.5,548.25,0.5044910179640718,84,168.5,659.75,39.793333,24192,0.0,176.5,-0.029553372982061572,-3.8450412154197693,0.23524305555555555,0.2,4.3728886,80,0.9806236624717712,0.0003,14573.887708875867,6329.1943359375
0.5841652199074074,29.75,14678.155,22,30.25,0.5151076158940397,1303.0,0.0809642650462963,288.0,9,2491.565715909091,334.0,2588,0.0,0.0,14.75,0.0,10.75,0.3348705150462963,71.5,585.75,0.47455089820359286,88,158.5,622.25,39.793333,25344,0.0,170.0,-0.03985929613312086,-3.7200453082720437,0.2113715277777778,0.2,6.5948405,84,0.9782500267028809,0.0003,16783.500406901043,6136.1181640625
0.6336443865740741,32.25,12892.627499999999,23,26.5,0.4573675496688742,1117.75,0.07094545717592593,288.0,9,2412.3449793478258,334.0,2708,0.0,0.0,14.25,0.0,8.5,0.29541015625,61.0,655.5,0.43038922155688625,92,143.75,552.5,39.793333,26496,0.0,157.0,-0.03210934018716216,-3.597051627106137,0.24674479166666666,0.2,6.0153847,88,0.9748979210853577,0.0003,24739.46066623264,5851.93994140625
0.6813512731481481,30.5,10958.435000000001,24,24.0,0.3853476821192053,953.5,0.06034794560185186,288.0,9,2308.6908906249996,334.0,2828,0.0,0.0,13.5,0.0,6.25,0.25830078125,51.5,742.5,0.3532934131736527,96,118.0,465.5,39.88499975,27648,0.0,128.25,-0.03997248572866536,-3.0310393704308405,0.2398003472222222,0.2,6.201183,92,0.9712714552879333,0.0003,25415.363321940105,6268.53759765625
0.7342303240740741,34.0,9431.585,25,19.75,0.33195364238410596,767.75,0.05161313657407408,288.0,9,2193.811889,334.0,2984,0.0,0.0,16.75,0.0,7.25,0.21415653935185186,42.5,807.0,0.3083832335329341,100,103.0,401.0,39.793333,28800,0.0,111.25,0.014575157366279099,-2.7476406494776406,0.2701822916666667,0.2,8.709759,96,0.9530684351921082,0.0003,24395.614135742188,2857.203857421875
