act/idle_share,events/skipped,ops/revenue_usd,time/iterations,ops/work_lost_steps,ops/completed_share,act/conflicts_repaired,act/job_share,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,ops/critical_due,time/time_elapsed,ops/below_reserve_steps,ops/brownout_steps,events/outage,events/add_jobs,events/close_downlink,act/calibrate_share,act/executor_switches,ops/jobs_due_missed,ops/critical_on_time_share,ops/episodes,ops/critical_done_on_time,ops/jobs_completed,ops/min_soc_pct,time/total_timesteps,ops/blocked_commands,act/downlink_slots_used,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,train/loss
0.7757703993055556,32.75,21645.802499999998,1,115.0,0.7173013245033112,456.5,0.12335431134259259,288.0,53,2500.520525,334.0,21,0.0,0.0,12.25,0.0,10.25,0.10087528935185186,244.5,341.5,0.5471556886227544,4,182.75,866.5,46.7450585,1152,0.0,96.75,,,,,,,,,,
0.7193467881944445,37.5,22383.425,2,91.25,0.7462748344370862,555.75,0.12646484375,288.0,15,2662.6648875,334.0,149,0.0,0.0,17.0,0.0,9.75,0.15418836805555555,275.25,306.5,0.5898203592814371,8,197.0,901.5,45.8678655,2304,0.0,116.25,0.13116179952501422,-31.284446663326687,0.76171875,0.2,0.4357743,4,0.0002777576446533203,0.0003,16411.05579969618,2164.143798828125
0.07501446759259259,36.25,21874.48,3,106.0,0.7280629139072847,515.0,0.12452980324074074,288.0,12,2639.9081916666664,334.0,278,0.0,0.0,16.0,0.0,8.75,0.8004557291666667,241.5,328.5,0.5583832335329342,12,186.5,879.5,39.97666649999999,3456,0.0,100.25,0.24804739881720808,-36.92787922753228,0.9134114583333334,0.2,15.441532,8,0.01546621322631836,0.0003,8745.118496365018,1162.7117919921875
0.009566695601851851,35.5,432.74,4,62.25,0.02566225165562914,0.5,0.006908275462962963,288.0,11,1121.71611875,334.0,407,0.0,0.0,13.25,0.0,9.0,0.9835250289351852,0.25,1177.0,0.017964071856287428,16,6.0,31.0,39.793333,4608,0.0,1.25,0.24290959619813496,-3.185419129828612,0.9665798611111112,0.2,40.26013,12,0.05800431966781616,0.0003,9209.843207465277,2068.177490234375
0.24106626157407407,34.25,24461.725,5,52.5,0.8137417218543046,992.0,0.1342230902777778,288.0,10,1610.816345,334.0,529,0.0,0.0,16.5,0.0,10.0,0.6247106481481481,284.5,225.0,0.6706586826347306,20,224.0,983.0,39.88499974999999,5760,0.0,168.0,0.23469517436913317,-31.831404507160187,0.849609375,0.2,64.59419,16,0.36523330211639404,0.0003,19366.47691853841,896.3740234375
0.7880135995370371,34.5,24014.004999999997,6,56.25,0.798841059602649,843.25,0.1321976273148148,288.0,10,1911.7140458333333,334.0,657,0.0,0.0,13.75,0.0,8.25,0.07978877314814815,291.25,243.0,0.6534431137724551,24,218.25,965.0,45.04549675,6912,0.0,154.5,0.30137071673137444,-31.609155654907227,0.8357204861111112,0.2,7.246717,20,0.5127675533294678,0.0003,10910.16726175944,626.9581909179688
0.9193612557870371,38.5,11062.244999999999,7,125.0,0.38182947019867547,249.5,0.06749131944444445,288.0,10,1583.743817857143,334.0,778,0.0,0.0,12.75,0.0,7.75,0.013147424768518517,73.0,746.75,0.28592814371257486,28,95.5,461.25,48.28742700000001,8064,0.0,58.5,0.46178535035707885,-10.53495028283861,0.9574652777777778,0.2,15.148058,24,0.7743195295333862,0.0003,5992.261527167426,652.6834106445312
0.8917824074074074,31.0,15677.835,8,135.0,0.5326986754966888,270.0,0.0941478587962963,288.0,10,1497.780946875,334.0,897,0.0,0.0,14.75,0.0,6.75,0.014069733796296297,89.25,564.5,0.40194610778443113,32,134.25,643.5,46.79988275,9216,0.0,62.75,0.15085616293880674,-10.169241216447618,0.6447482638888888,0.2,0.32195696,28,-0.2062516212463379,0.0003,8617.815219455295,1204.9591064453125
0.8822880497685185,29.0,17969.7825,9,86.25,0.5945778145695364,383.5,0.10174334490740741,288.0,10,1498.1050444444445,334.0,1023,0.0,0.0,15.5,0.0,7.5,0.015968605324074073,99.5,489.75,0.4640718562874252,36,155.0,718.25,48.565263,10368,0.0,92.0,0.15285957656386825,-11.080429553985596,0.6723090277777778,0.2,0.7537606,32,0.7253086566925049,0.0003,2229.3853725857207,681.7891235351562
0.5101996527777778,38.5,26235.565,10,48.75,0.908319536423841,2464.5,0.14409722222222224,288.0,10,1842.2538550000002,334.0,1146,0.0,0.0,15.75,0.0,10.75,0.345703125,111.25,110.75,0.8510479041916168,40,284.25,1097.25,41.986315499999996,11520,0.0,297.25,0.1062211924387763,-11.413752423392403,0.5301649305555556,0.2,4.297434,36,0.8582878112792969,0.0003,1725.8461100260417,622.27685546875
