time/iterations,time/time_elapsed,act/calibrate_share,ops/critical_on_time_share,rollout/ep_rew_mean,ops/critical_due,ops/brownout_steps,act/executor_switches,act/idle_share,ops/jobs_completed,act/conflicts_repaired,ops/blocked_commands,ops/episodes,ops/min_soc_pct,rollout/ep_len_mean,events/add_jobs,events/outage,ops/below_reserve_steps,ops/revenue_usd,act/job_share,ops/work_lost_steps,events/skipped,time/fps,ops/completed_share,ops/critical_done_on_time,ops/jobs_due_missed,events/close_downlink,time/total_timesteps,act/downlink_slots_used,train/value_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss
14,1967,0.10078486689814814,0.6010479041916168,2308.9760964285715,334.0,0.0,231.25,0.7743236400462963,883.5,342.5,0.0,56,45.35245625,288.0,0.0,13.5,0.0,21505.872499999998,0.12489149305555555,144.25,38.0,8,0.7313741721854304,200.75,324.5,9.25,16128,140.75,11152.469821506076,0.007445666499228941,0.2,52,0.2439236111111111,-31.481552441914875,0.34622442722320557,3e-05,0.020004068,3999.3662109375
15,2124,0.10499855324074074,0.6047904191616766,2331.633376666667,334.0,0.0,251.0,0.7680121527777777,902.25,403.5,0.0,60,46.306462,288.0,0.0,12.25,0.0,22143.53,0.12698929398148148,121.5,30.0,8,0.7468956953642385,202.0,305.75,7.75,17280,144.0,5720.720045301649,0.05991244605845875,0.2,56,0.18359375,-31.39750533633762,0.6245700120925903,3e-05,0.14412433,866.8508911132812
16,2281,0.10686125578703703,0.6167664670658682,2353.684303125,334.0,0.0,256.25,0.7669451678240741,902.0,394.0,0.0,64,47.24947349999999,288.0,0.0,12.5,0.0,22061.07,0.1261935763888889,109.0,35.25,8,0.7466887417218543,206.0,306.0,8.0,18432,135.5,3004.863488091363,0.049399992916733027,0.2,60,0.2749565972222222,-31.234709315829807,0.9010031223297119,3e-05,0.1266628,649.206787109375
17,2440,0.11029730902777778,0.6092814371257484,2368.478536764706,334.0,0.0,240.75,0.7643048321759259,889.75,407.25,0.0,68,45.49137425,288.0,0.0,16.0,0.0,21909.877500000002,0.1253978587962963,121.25,40.25,8,0.736548013245033,203.5,318.25,6.5,19584,130.75,2560.717315673828,0.02931636310596433,0.2,64,0.2654079861111111,-31.545354419284397,0.9492076635360718,3e-05,0.14617683,696.98193359375
18,2596,0.10722294560185185,0.5830838323353293,2373.042986111111,334.0,0.0,240.25,0.7689344618055556,874.25,376.75,0.0,72,46.3428655,288.0,0.0,15.0,0.0,21386.362500000003,0.12384259259259259,133.0,31.0,7,0.7237168874172185,194.75,333.75,8.25,20736,125.25,1490.457538180881,0.033361286364702716,0.2,68,0.21983506944444445,-31.076795948876274,0.9714747667312622,3e-05,0.10650767,461.10589599609375
19,2754,0.10199652777777778,0.6070359281437127,2384.9040789473684,334.0,0.0,238.0,0.7733289930555556,883.75,379.0,0.0,76,46.67924,288.0,0.0,13.75,0.0,21746.625,0.12467447916666667,131.25,36.5,7,0.7315811258278146,202.75,324.25,10.25,21888,136.0,1401.9029184977214,0.019423902707381382,0.2,72,0.279296875,-30.73983070585463,0.9801367521286011,3e-05,0.06018935,623.7233276367188
20,2909,0.09955512152777778,0.5980538922155688,2393.50553125,334.0,0.0,234.5,0.775806568287037,886.0,400.5,0.0,80,45.48409325,288.0,0.0,13.0,0.0,21695.8125,0.12463831018518519,129.25,32.25,7,0.7334437086092715,199.75,322.0,6.5,23040,134.5,1308.4174211290147,0.03544824456589089,0.2,76,0.3485243055555556,-30.06318293677436,0.9823417663574219,3e-05,0.07431034,500.6282958984375
21,3064,0.10984519675925926,0.6279940119760479,2411.0718666666667,334.0,0.0,239.0,0.7637622974537037,904.25,417.5,0.0,84,46.93894725,288.0,0.0,9.75,0.0,21978.6075,0.12639250578703703,123.75,35.5,7,0.7485513245033113,209.75,303.75,9.5,24192,148.25,1121.6763610839844,0.016792722783672314,0.2,80,0.3120659722222222,-29.83070945739746,0.9865805506706238,3e-05,0.07652065,412.876220703125
22,3227,0.11181640625000001,0.6264970059880239,2426.906351136364,334.0,0.0,246.0,0.7620081018518519,907.25,409.75,0.0,88,46.7083625,288.0,0.0,14.75,0.0,22310.5525,0.12617549189814814,106.0,29.75,7,0.7510347682119206,209.25,300.75,10.75,25344,142.0,1077.510021633572,0.009700326093782982,0.2,84,0.21940104166666666,-31.471035798390705,0.9893115758895874,3e-05,0.039168995,343.22216796875
1,27,0.11451099537037036,0.624251497005988,2737.4556249999996,334.0,0.0,263.5,0.7586986400462963,907.75,434.0,0.0,4,46.697807250000004,288.0,0.0,12.25,0.0,22288.0625,0.12679036458333331,109.5,32.75,41,0.7514486754966887,208.5,300.25,10.25,26496,140.75,,,,,,,,,,
