act/job_share,time/iterations,time/time_elapsed,ops/brownout_steps,ops/work_lost_steps,ops/critical_done_on_time,events/close_downlink,ops/below_reserve_steps,act/conflicts_repaired,ops/min_soc_pct,ops/critical_due,act/idle_share,events/add_jobs,act/executor_switches,events/outage,rollout/ep_len_mean,ops/completed_share,act/calibrate_share,ops/jobs_completed,ops/revenue_usd,ops/blocked_commands,time/fps,ops/episodes,act/downlink_slots_used,events/skipped,time/total_timesteps,rollout/ep_rew_mean,ops/critical_on_time_share,ops/jobs_due_missed,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss
0.12335431134259259,1,20,0.0,115.0,182.75,10.25,0.0,456.5,46.7450585,334.0,0.7757703993055556,0.0,244.5,12.25,288.0,0.7173013245033112,0.10087528935185186,866.5,21645.802499999998,0.0,56,4,96.75,32.75,1152,2500.520525,0.5471556886227544,341.5,,,,,,,,,,
0.12160011574074073,2,142,0.0,116.75,182.5,9.75,0.0,425.5,46.306461999999996,334.0,0.7934208622685186,0.0,235.0,17.0,288.0,0.7073675496688742,0.08497902199074074,854.5,21148.54,0.0,16,8,95.75,37.5,2304,2474.4529625,0.5464071856287426,353.5,4,0.13164856,0.2,0.4092881944444444,3e-05,23328.685438368055,10881.171875,0.0002777576446533203,0.021203733670214813,-30.464014265272354
0.12073206018518519,3,259,0.0,133.25,185.0,8.75,0.0,380.5,46.671959,334.0,0.7959346064814815,0.0,217.5,16.0,288.0,0.6999172185430464,0.08333333333333333,845.5,20746.185,0.0,13,12,94.75,36.25,3456,2458.7809249999996,0.5538922155688623,362.5,8,0.034549996,0.2,0.2845052083333333,3e-05,22145.631401909723,10874.1181640625,0.0036536455154418945,0.021381711315674085,-29.011236402723526
0.11841724537037038,4,377,0.0,140.0,178.75,9.0,0.0,346.75,46.7450585,334.0,0.795193142361111,0.0,213.75,13.25,288.0,0.6788079470198675,0.08638961226851852,820.0,20403.3975,0.0,12,16,84.75,35.5,4608,2406.1848124999997,0.5351796407185628,388.0,12,0.030722793,0.2,0.22569444444444445,3e-05,20328.057074652777,9452.33984375,0.00805574655532837,0.012433402524847124,-29.36304654015435
0.11608434606481483,5,492,0.0,158.5,174.0,10.0,0.0,330.0,46.3722805,334.0,0.7902199074074074,0.0,189.0,16.5,288.0,0.6628725165562914,0.09369574652777778,800.75,19570.83,0.0,11,20,85.5,34.25,5760,2342.9420099999998,0.5209580838323353,407.25,16,0.019681748,0.2,0.1545138888888889,3e-05,16782.546766493055,6960.48486328125,0.012620687484741211,0.007905477916614877,-30.41104777654012
0.11669921875,6,606,0.0,165.0,174.0,8.25,0.0,318.5,44.9906725,334.0,0.7843605324074074,0.0,206.5,13.75,288.0,0.6678394039735099,0.0989402488425926,806.75,19593.33,0.0,11,24,90.25,34.5,6912,2307.550975,0.5209580838323353,401.25,20,0.014823705,0.2,0.1838107638888889,3e-05,13055.414713541666,5022.55615234375,0.017333924770355225,0.009210543474182487,-31.104048199123806
0.11608434606481481,7,720,0.0,169.5,162.5,7.75,0.0,316.5,45.495087500000004,334.0,0.7839265046296298,0.0,202.0,12.75,288.0,0.6587334437086092,0.09998914930555555,795.75,19269.295000000002,0.0,11,28,85.5,38.5,8064,2251.2301857142857,0.48652694610778446,412.25,24,0.008569308,0.2,0.10264756944444445,3e-05,11619.283284505209,3925.47509765625,0.023966491222381592,0.0017098701274436382,-31.636663966708714
0.11684389467592593,8,835,0.0,151.25,168.25,6.75,0.0,333.0,45.4950875,334.0,0.7740523726851851,0.0,205.0,14.75,288.0,0.6694950331125828,0.10910373263888888,808.75,19763.6525,0.0,11,32,83.75,31.0,9216,2224.910665625,0.5037425149700598,399.25,28,0.007863051,0.2,0.1032986111111111,3e-05,8359.707044813367,2457.016357421875,0.028838038444519043,0.0035236737199334633,-32.13690874311659
0.1180736400462963,9,950,0.0,148.5,176.75,7.5,0.0,361.25,46.372280499999995,334.0,0.7692961516203703,0.0,207.0,15.5,288.0,0.6773592715231788,0.11263020833333333,818.25,20145.59,0.0,10,36,88.75,29.0,10368,2224.247636111111,0.5291916167664671,389.75,32,0.012795856,0.2,0.1762152777777778,3e-05,9557.314792209201,2160.42919921875,0.03410559892654419,0.0008100078363592426,-32.88634077707926
0.1207863136574074,10,1067,0.0,129.25,186.5,10.75,0.0,414.0,45.94096475,334.0,0.7482819733796295,0.0,222.75,15.75,288.0,0.7024006622516556,0.13093171296296297,848.5,20840.73,0.0,10,40,97.75,38.5,11520,2248.9461025,0.5583832335329342,359.5,36,0.019249318,0.2,0.2302517361111111,3e-05,11098.447875976562,4975.908203125,0.04322481155395508,0.005991221741876668,-32.494059827592636
0.12140118634259259,11,1182,0.0,121.5,190.0,9.5,0.0,427.5,46.006491,334.0,0.7335611979166667,0.0,240.75,13.25,288.0,0.7048841059602649,0.14503761574074076,851.5,21053.559999999998,0.0,10,44,98.0,34.25,12672,2273.381511363636,0.5688622754491018,356.5,40,0.043439403,0.2,0.5440538194444444,3e-05,13250.026462131076,2448.49072265625,0.06790882349014282,0.05843550724158478,-35.102359453837074
0.12559678819444445,12,1216,0.0,98.0,194.75,9.25,0.0,508.5,44.62517524999999,334.0,0.6187065972222222,0.0,262.25,15.5,288.0,0.7388245033112583,0.2556966145833333,892.5,22157.2625,0.0,11,48,108.75,34.25,13824,2314.9661875,0.5830838323353293,315.5,41,0.8478518,0.2,0.7239583333333334,3e-05,18978.279622395832,9908.6337890625,0.09988349676132202,0.1467878766513119,-38.8221549987793
0.12718822337962962,13,1261,0.0,85.0,201.75,8.25,0.0,595.25,42.998713249999994,334.0,0.4881546585648148,0.0,272.25,13.75,288.0,0.7526903973509934,0.3846571180555556,909.25,22635.4,0.0,11,52,117.5,31.0,14976,2362.159480769231,0.6040419161676647,298.75,43,2.2070212,0.2,0.7691761363636364,3e-05,20292.529651988636,7381.39111328125,0.10756528377532959,0.18442448863590305,-42.87177276611328
