ops/jobs_completed,ops/critical_on_time_share,act/downlink_slots_used,rollout/ep_rew_mean,time/total_timesteps,events/close_downlink,events/skipped,ops/brownout_steps,ops/revenue_usd,ops/work_lost_steps,act/idle_share,time/fps,time/time_elapsed,time/iterations,act/conflicts_repaired,ops/min_soc_pct,ops/blocked_commands,ops/jobs_due_missed,act/calibrate_share,ops/episodes,events/outage,act/job_share,ops/below_reserve_steps,act/executor_switches,ops/completed_share,events/add_jobs,rollout/ep_len_mean,ops/critical_due,ops/critical_done_on_time,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl
912.5,0.6197604790419162,144.0,699.8266285714286,13824,7.5,38.0,0.0,22487.555,108.0,0.7353515625,5,2093,21,512.5,45.933684,0.0,295.5,0.13755063657407407,42,11.0,0.12709780092592593,0.0,251.0,0.7553807947019867,0.0,288.0,334.0,207.0,80,0.04240300967358053,0.469921875,27.64672088623047,0.9624525904655457,3e-05,0.2,-35.157843017578124,161.2949588775635,0.032914467
923.5,0.6287425149700598,152.5,698.79035,14400,12.0,27.0,0.0,22730.765,100.5,0.732421875,5,2194,22,521.5,47.278597000000005,0.0,284.5,0.13892505787037035,44,12.0,0.12865306712962965,0.0,265.0,0.7644867549668874,0.0,288.0,334.0,210.0,84,0.00795973027125001,0.206640625,47.57106018066406,0.9746330380439758,3e-05,0.2,-33.523318481445315,105.70709075927735,0.030026462
928.5,0.6467065868263473,151.0,698.8364347826086,14976,7.0,35.5,0.0,22921.545,99.5,0.7371961805555556,5,2295,23,517.0,47.556433,0.0,279.5,0.13425925925925924,46,15.0,0.12854456018518517,0.0,246.0,0.7686258278145696,0.0,288.0,334.0,216.0,88,0.004113512556068599,0.0953125,27.299360275268555,0.983339786529541,3e-05,0.2,-33.54761161804199,99.38228969573974,0.019389478
915.0,0.6272455089820359,154.5,697.5740625,15552,6.5,31.5,0.0,22365.114999999998,107.5,0.7404875578703705,5,2396,24,512.0,44.179298,0.0,293.0,0.1320529513888889,48,14.5,0.12745949074074076,0.0,263.0,0.7574503311258278,0.0,288.0,334.0,209.5,92,-0.004638972086831927,0.10078125,37.42900848388672,0.9897943735122681,3e-05,0.2,-32.82590274810791,74.26929988861085,0.0051689474
919.0,0.6182634730538923,147.5,697.576432,16128,6.0,33.0,0.0,22595.845,94.5,0.7489149305555556,5,2497,25,526.0,45.933684,0.0,289.0,0.12373408564814814,50,18.5,0.12735098379629628,0.0,267.0,0.7607615894039735,0.0,288.0,334.0,206.5,96,-0.007235441403463483,0.201953125,16.328937530517578,0.9941543340682983,3e-05,0.2,-33.297102546691896,44.83160915374756,0.02286281
919.5,0.6332335329341318,159.0,698.6787076923076,16704,8.0,35.0,0.0,22530.05,107.5,0.7609953703703703,5,2598,26,503.5,46.810877,0.0,288.5,0.11103877314814814,52,9.5,0.12796585648148148,0.0,259.5,0.7611754966887417,0.0,288.0,334.0,211.5,100,0.03864176226779818,0.44453125,13.028615951538086,0.995780885219574,3e-05,0.2,-33.003365230560306,36.22959728240967,0.06778529
915.5,0.6152694610778443,145.5,698.0216666666665,17280,8.0,34.5,0.0,22392.6,111.5,0.7494936342592593,5,2696,27,577.5,45.056490999999994,0.0,292.5,0.12257667824074074,54,13.5,0.1279296875,0.0,270.0,0.757864238410596,0.0,288.0,334.0,205.5,104,0.011131222406402231,0.332421875,20.99301528930664,0.9957616329193115,3e-05,0.2,-31.58242712020874,41.00861539840698,0.087961644
943.0,0.6616766467065869,163.5,699.1529428571429,17856,7.0,32.0,0.0,23034.83,92.5,0.7531105324074074,5,2797,28,617.5,46.67924,0.0,265.0,0.11689814814814814,56,13.5,0.12999131944444442,0.0,274.0,0.7806291390728477,0.0,288.0,334.0,221.0,108,-0.0086528523825109,0.15078125,19.465187072753906,0.9961115121841431,3e-05,0.2,-32.08528032302856,32.238194370269774,0.011888911
946.5,0.6407185628742516,161.5,700.7887172413792,18432,9.0,35.0,0.0,23276.379999999997,90.0,0.7548466435185185,5,2899,29,637.5,48.287427,0.0,261.5,0.1144748263888889,58,16.0,0.1306785300925926,0.0,293.5,0.7835264900662251,0.0,288.0,334.0,214.0,112,-0.011204852256923914,0.16640625,24.328296661376953,0.995154082775116,3e-05,0.2,-31.481475925445558,42.59079780578613,0.011048065
955.5,0.6706586826347305,173.0,702.8104,19008,8.0,31.0,0.0,23351.36,98.0,0.7554615162037037,5,3002,30,614.5,47.410234,0.0,252.5,0.11270254629629631,60,15.5,0.1318359375,0.0,278.5,0.7909768211920529,0.0,288.0,334.0,224.0,116,-0.005535373324528336,0.082421875,16.15559196472168,0.9971734881401062,3e-05,0.2,-31.26050548553467,30.099248790740965,0.008579715
963.5,0.657185628742515,164.0,705.1464516129031,19584,12.0,32.5,0.0,23742.84,75.0,0.7518446180555556,5,3103,31,619.5,46.810877,0.0,244.5,0.11646412037037038,62,12.0,0.13169126157407407,0.0,303.0,0.7975993377483444,0.0,288.0,334.0,219.5,120,0.000926108006387949,0.055078125,11.47793197631836,0.997025191783905,3e-05,0.2,-31.129875469207764,31.389851570129395,0.0083093
963.5,0.6706586826347305,177.5,706.8460781250001,20160,10.5,40.5,0.0,23504.614999999998,85.0,0.7505063657407407,5,3206,32,629.0,47.688069999999996,0.0,244.5,0.11736834490740741,64,10.5,0.13212528935185186,0.0,298.0,0.7975993377483444,0.0,288.0,334.0,224.0,124,0.0038476260611787438,0.110546875,11.174203872680664,0.9959762096405029,3e-05,0.2,-31.257068824768066,38.01078729629516,0.008146374
958.5,0.6826347305389222,169.0,708.3745242424244,20736,10.5,29.0,0.0,23512.120000000003,88.5,0.7521339699074074,5,3309,33,654.5,46.67924,0.0,249.5,0.11595775462962962,66,14.5,0.13190827546296297,0.0,295.0,0.7934602649006622,0.0,288.0,334.0,228.0,128,0.0077754919650033115,0.140234375,10.3049955368042,0.9967526793479919,3e-05,0.2,-31.66815767288208,37.75009088516235,0.00865349
954.0,0.6526946107784432,171.0,709.8277794117648,21312,10.0,32.5,0.0,23510.46,91.0,0.7545211226851851,5,3409,34,689.5,44.902865500000004,0.0,254.0,0.1136791087962963,68,13.0,0.13179976851851852,0.0,283.0,0.7897350993377483,0.0,288.0,334.0,218.0,132,-0.006932240212336183,0.121484375,14.604695320129395,0.9979132413864136,3e-05,0.2,-30.96854410171509,28.10258913040161,0.003321788
965.0,0.6841317365269461,171.5,712.4412228571429,21888,9.5,43.5,0.0,24013.595,75.5,0.7591145833333334,5,3510,35,698.5,46.810877000000005,0.0,243.0,0.10796440972222222,70,14.0,0.13292100694444445,0.0,291.0,0.798841059602649,0.0,288.0,334.0,228.5,136,-0.0004779051290825009,0.320703125,11.655611991882324,0.9982597827911377,3e-05,0.2,-31.165105628967286,23.407127475738527,0.028771002
982.0,0.7020958083832336,183.0,715.025252777778,22464,9.5,31.5,0.0,24232.645,70.5,0.7537977430555556,5,3611,36,710.0,47.8714035,0.0,226.0,0.11201533564814814,72,13.5,0.13418692129629628,0.0,305.5,0.8129139072847682,0.0,288.0,334.0,234.5,140,0.0005461294669657946,0.19453125,9.624932289123535,0.9978142976760864,3e-05,0.2,-29.776062297821046,26.21682186126709,0.012162169
978.0,0.6811377245508983,181.5,717.4845837837838,23040,8.0,37.5,0.0,24070.215,68.5,0.7590784143518519,5,3713,37,712.0,47.688069999999996,0.0,230.0,0.10727719907407407,74,15.5,0.13364438657407407,0.0,291.5,0.8096026490066226,0.0,288.0,334.0,227.5,144,0.002028796379454434,0.246484375,14.442730903625488,0.9972965717315674,3e-05,0.2,-30.246517848968505,37.83702754974365,0.028637642
987.0,0.687125748502994,186.0,720.4998526315791,23616,10.0,31.5,0.0,24290.120000000003,66.0,0.7658781828703703,5,3812,38,729.0,45.8166085,0.0,221.0,0.10007957175925926,76,11.0,0.13404224537037035,0.0,292.5,0.8170529801324504,0.0,288.0,334.0,229.5,148,-0.001051377784460783,0.19296875,10.29850959777832,0.9980862140655518,3e-05,0.2,-29.742882537841798,26.038063621520998,0.018850818
988.0,0.7020958083832336,192.5,723.0965256410258,24192,9.0,36.0,0.0,24074.375,74.0,0.7653718171296297,5,3911,39,722.0,45.933684,0.0,220.0,0.09989872685185186,78,17.5,0.13472945601851852,0.0,301.0,0.8178807947019868,0.0,288.0,334.0,234.5,152,-0.006488258903846145,0.1109375,12.153038024902344,0.9975645542144775,3e-05,0.2,-29.666670989990234,31.68595733642578,0.013028013
990.5,0.6946107784431138,191.0,725.1932725,24768,13.0,31.5,0.0,24258.48,63.0,0.7581380208333333,5,4014,40,792.5,48.565263,0.0,217.5,0.10716869212962962,80,8.5,0.13469328703703703,0.0,284.0,0.8199503311258278,0.0,288.0,334.0,232.0,156,0.0006634313613176346,0.11015625,12.120789527893066,0.9983715415000916,3e-05,0.2,-29.53009662628174,25.533453941345215,0.005184611
